"MeterID","Sleeping.Hours.Consumption.x","Working.Hours.Consumption.x","Evening.Hours.Consumption.x","Average_Consumption","Average_consumption_by_year","total_number_of_people","total_usage_purpose","total_heavy_devices","total_light_devices","total_heavy_device_usage","total_light_device_usage","income_category","emp_status","education"
1002,0.148686450559702,0.215315298507463,0.260101538820238,0.208038476486592,589.238083333333,1,1,3,2,7,5,1,6,2
1003,0.471917210820896,0.633488222947761,0.795712753555607,0.633718655266226,1809.45866666667,3,1,7,6,12,14,3,1,5
1004,0.479516324626866,0.969220032649254,1.504089414782,0.984315662650602,2809.95833333333,4,2,7,6,19,15,-1,1,5
1005,0.437124183768657,0.69423145988806,0.74147808346934,0.624287019043918,1744.65058333333,2,1,7,3,12,4,-1,1,5
1008,0.553002570093458,0.779633995327103,0.864359729035272,0.732342379876957,2069.90183333333,4,2,7,7,8,10,-1,1,5
1013,0.140436450559701,0.22565869869403,0.344737234786664,0.236952506801399,667.478916666667,1,2,5,3,8,6,-1,1,-1
1015,0.31628661380597,0.551686683768657,0.544075425507111,0.470688612514574,1341.69841666667,2,1,3,3,9,8,-1,4,3
1016,0.236945079291045,0.251573577425373,0.252751107484262,0.247090361445783,699.564333333333,12,2,8,1,12,3,3,2,4
1017,0.130403323970037,0.539931179775281,0.350763749122396,0.340366895529375,953.012666666667,1,1,3,1,6,2,2,6,5
1018,0.694794076492537,1.08110657649254,1.07107822336209,0.949002448503692,2671.08975,2,1,7,6,9,5,7,6,2
1020,0.469095965485075,0.691748367537313,0.764422359524365,0.641765099106102,1810.73066666667,3,1,8,3,17,6,-1,1,5
1022,0.240022154850746,0.42919484608209,0.371914082536722,0.347045627671978,979.887,2,2,6,3,9,6,-1,6,4
1024,0.287742420708955,0.423298973880597,0.426252856143623,0.379101748931209,1097.35166666667,1,1,7,3,8,4,4,1,5
1025,0.113959696261682,0.220377920560748,0.343687105816398,0.226017405186512,607.6195,1,2,6,1,8,2,8,1,5
1027,0.115793143656716,0.357493819962687,0.199580904639776,0.224287368830159,634.117333333333,1,2,4,1,7,2,7,6,2
1029,0.0840021028037383,0.159114953271028,0.129061551039477,0.124059925239467,345.691833333333,1,2,4,2,4,4,7,6,3
1031,0.435266208022388,0.997732509328358,0.63077896945675,0.68792145355616,1920.45733333333,6,1,8,4,13,5,5,1,5
1032,0.198294076492537,0.547816814365672,0.479006411750991,0.408377924601632,1158.93366666667,3,2,8,5,9,5,4,1,5
1033,0.449790811567164,0.923294542910448,0.748887736069014,0.70732759424796,2057.6365,3,2,5,2,10,6,-1,1,5
1034,0.824143341121495,0.932742990654206,0.782743985050222,0.846538470524102,2362.41533333333,2,1,8,2,12,6,-1,6,5
1036,0.176087569962687,0.435279850746269,0.670040452319888,0.427154838709677,1121.98266666667,2,1,8,2,7,5,-1,6,4
1039,0.503788129664179,0.966595499067164,0.838724761016554,0.769708161678974,2204.94533333333,4,2,10,8,12,6,4,1,3
1041,0.0904402985074627,0.152212336753731,0.204385404523199,0.149016984065293,426.623,1,2,6,2,7,2,-1,1,-1
1042,0.362762126865672,0.744549556902985,0.738802634646771,0.61538103381267,1801.64616666667,4,2,3,3,5,3,-1,1,5
1043,0.218158350305499,0.440058681262729,0.654115296513108,0.437462494696648,1205.49566666667,2,1,8,4,10,4,4,3,3
1044,0.43266114738806,0.956792327425373,1.11009349498718,0.833203847648659,2450.80083333333,2,2,7,5,13,7,-1,1,5
1045,0.249555853544776,0.733605293843284,0.594465726276521,0.525880956082394,1485.54283333333,6,1,6,5,13,7,-1,4,2
1046,0.224094626168224,0.599757359813084,0.595217822938566,0.473032785608597,1338.5935,2,2,8,3,15,6,3,6,4
1047,0.192792677238806,0.746236940298508,0.538217649801819,0.492419315973572,1368.38908333333,4,1,3,6,6,12,7,1,3
1049,0.682612756529851,0.173159864738806,1.19606225227326,0.683984764865915,1933.26175,1,1,4,1,8,4,7,5,2
1051,0.309179322429907,1.06187570093458,0.715225064237328,0.695428237676193,2020.78625,2,3,6,3,9,5,-1,6,4
1052,0.186352145522388,0.437840485074627,0.572970505945442,0.399067897396036,1181.51091666667,2,1,6,2,10,4,4,1,2
1053,0.320493703358209,0.68079395988806,0.598131149452087,0.533144656043529,1405.55,2,1,8,2,12,4,7,6,-1
1054,0.119123484141791,0.125686333955224,0.160158894847284,0.134991527399922,392.792166666667,3,2,4,5,6,8,1,1,5
1055,0.389508512126866,0.499831739738806,0.730543366752157,0.539976020209872,1640.46608333333,2,1,5,2,7,4,3,1,4
1057,0.559273204291045,1.08305037313433,1.1807002797855,0.941026583754372,2682.60941666667,4,2,11,6,24,5,-1,2,-1
1058,0.202190648320896,0.439977845149254,0.551380508276988,0.397861601243684,1090.25525,1,0,6,4,9,7,-1,6,4
1059,0.758252565298507,0.93194776119403,0.926314059221264,0.87217567042363,2477.08475,2,1,8,3,17,8,4,6,5
1060,0.132288013059702,0.300541277985075,0.547785847516904,0.32688888457054,919.49325,2,0,5,2,8,6,7,6,3
1061,0.246370452425373,0.398217467350746,0.437892282583353,0.360832724446172,996.695916666667,4,0,4,2,7,3,2,1,4
1062,0.231144239738806,0.362199160447761,0.561162858475169,0.384849125534396,1136.16341666667,2,0,6,6,9,6,-1,4,2
1064,0.523247434701492,0.856432486007463,0.818481580788062,0.732727166731442,1898.72058333333,2,1,8,2,18,8,7,1,4
1065,0.294777985074627,0.691222014925373,0.62585742597342,0.537292693354061,1510.56641666667,3,2,7,2,14,5,-1,6,4
1067,0.148515974813433,0.45130713619403,0.643043250174866,0.414306568208317,1177.20141666667,2,2,5,2,7,3,7,6,4
1069,0.0796101912313433,0.0479791277985075,0.0909663091629751,0.0728532841041586,196.017166666667,2,1,5,3,9,7,-1,1,3
1072,0.289726679104478,0.486096898320896,0.504805782233621,0.426882510687913,1223.28383333333,2,2,7,6,11,8,2,6,4
1073,0.729245918843284,1.27688234608209,1.24004698064817,1.08207069568597,3073.69033333333,3,1,8,5,10,6,2,3,3
1075,0.126934934701493,0.380280200559702,0.380129517370016,0.295788107267781,836.2605,2,2,4,5,7,7,-1,6,-1
1076,0.217438549440299,0.585053638059701,0.738167871298671,0.513570812281384,1464.98933333333,2,1,2,4,3,7,-1,6,1
1077,0.236596431902985,0.385871618470149,0.317093844719049,0.313187602020987,888.408583333333,2,0,7,4,11,5,7,6,3
1078,0.210427336448598,0.313101285046729,0.307301331464611,0.276945681800483,765.65625,1,1,5,2,6,4,7,6,3
1079,0.431518656716418,1.09990275186567,1.26406621590114,0.931855033035367,2668.7005,5,2,9,6,19,7,-1,1,5
1081,0.166829990671642,0.39876807369403,0.48950944276055,0.35171321414691,992.196083333333,3,1,5,4,6,7,4,1,2
1082,0.27585401119403,0.460291277985075,0.537666938680345,0.424612864360668,1212.59666666667,2,2,10,3,10,5,4,2,3
1083,0.206681669776119,0.354388642723881,0.68533854045232,0.415490594636611,1201.0325,2,2,5,6,7,11,-1,1,5
1086,0.115842000932836,0.129704757462687,0.130224527861972,0.125257481539059,351.088,5,2,5,9,8,10,5,2,5
1091,0.428859375,0.780548507462687,0.628394730706458,0.61260209871745,1852.75416666667,3,2,7,6,8,9,-1,6,5
1092,0.207580457089552,0.252747901119403,0.239656330146887,0.233328721336961,598.36775,1,1,5,2,7,5,1,6,3
1093,0.137079757462687,0.159034864738806,0.334866635579389,0.210336766420521,579.011,1,2,5,3,7,7,3,1,5
1094,0.489517757009346,1.0487351635514,0.973514249007241,0.837266334397633,2351.66983333333,4,2,6,7,9,8,-1,1,3
1096,0.50134421641791,0.745368003731343,0.86686360456983,0.704537893509522,1960.01558333333,6,2,8,6,17,5,5,1,5
1097,0.534130013992537,1.38599137126866,1.0904218932152,1.00352118150019,2830.74316666667,6,1,6,9,13,10,7,4,4
1098,0.101566930970149,0.183675839552239,0.310263231522499,0.198510687912942,592.461166666667,3,1,6,3,11,5,4,1,5
1099,0.139176072761194,0.306391208022388,0.360037771042201,0.268542129809561,766.585666666667,2,0,4,1,6,3,-1,5,-1
1100,0.237219275700935,0.514932593457944,0.767926419060967,0.506713106455884,1438.814,2,0,4,7,11,13,-1,6,3
1102,0.209378847947761,0.62981494869403,0.210018419211938,0.349726544889234,981.744083333333,1,2,6,2,11,4,7,6,-1
1106,0.443640374331551,0.674403576203209,0.814449364973262,0.644164438502674,1411.86708333333,3,0,6,5,17,8,5,3,5
1107,0.289944496268657,0.556278218283582,0.63671321986477,0.494323047026817,1385.98808333333,3,2,7,3,9,4,-1,2,3
1108,0.418987173507463,1.12628684701493,1.01485835859175,0.853390011659541,2384.94583333333,3,1,9,8,18,9,-1,1,5
1109,0.771104944029851,1.34246805037313,1.2477821170436,1.12046160124368,3215.839,4,2,7,5,13,12,3,2,5
1110,0.306043726679104,0.315151119402985,0.506758801585451,0.375994714341236,1056.22941666667,1,2,5,2,5,3,-1,6,-1
1112,0.0310096962616822,0.0389164719626168,0.0273347348750292,0.0324199049918231,85.3016666666667,4,2,6,2,10,3,-1,1,5
1115,0.222628731343284,0.280792793843284,0.277164490557239,0.260196657598134,724.3615,3,1,5,3,8,6,-1,6,-1
1120,0.0539583722014925,0.12417723880597,0.108145488458848,0.0954280217644773,266.171416666667,1,0,3,1,3,1,-1,6,2
1121,0.230103078358209,0.532121268656716,0.21067090230823,0.324289584143024,933.2435,1,2,9,2,12,4,7,6,1
1122,0.275086287313433,0.494143423507463,0.387175915131732,0.385468674698795,1067.14175,2,1,3,1,2,4,1,6,2
1123,0.289337453358209,0.439928055037313,0.325964677080905,0.351741391371939,986.294583333333,2,2,5,3,5,4,-1,6,-1
1124,0.162360191231343,0.221213619402985,0.331740382373514,0.238445316750874,674.848833333333,1,0,4,2,5,5,2,1,5
1126,0.285217234141791,0.614320429104478,0.406273840055957,0.435268247182278,1262.71716666667,3,1,7,7,12,13,2,2,5
1127,0.183472079439252,0.292315654205607,0.274256248540061,0.250016548555408,623.620083333333,3,1,5,5,8,7,5,1,5
1130,0.34450489738806,0.889759794776119,1.15156982979716,0.795305868635834,2234.49825,2,1,7,8,14,10,-1,3,3
1132,0.160547924440299,0.669038712686567,0.545314059221264,0.458306995724835,1266.841,2,3,4,4,7,10,1,7,3
1133,0.14986427238806,0.28661672108209,0.394979832128701,0.277162767197824,800.920083333333,3,1,5,3,6,5,4,2,2
1134,0.345933761682243,0.720227920560748,0.997312894183602,0.687848960361343,1941.21483333333,5,2,9,8,14,9,5,1,5
1136,0.197955107276119,0.306289762126866,0.379474469573327,0.294579712397979,833.885583333333,2,0,7,4,8,11,2,4,4
1138,0.576019706156716,1.27129745802239,1.31566973653532,1.05434928099495,2984.47866666667,5,2,5,10,13,10,3,1,4
1139,0.446248367537313,1.1327567630597,0.975401841921194,0.851478624174116,2419.47416666667,5,3,7,2,12,7,5,2,5
1140,0.364412196828358,1.07490216884328,0.859071228724644,0.766135755926934,2155.23591666667,4,2,7,11,21,9,-1,5,4
1141,0.531801888992537,0.638709188432836,0.820769060387037,0.663772250291489,1880.36266666667,4,2,7,4,14,7,-1,3,5
1143,0.339364155783582,0.89165088619403,1.32413243180228,0.851752545666537,2380.83416666667,4,1,8,6,11,10,5,1,5
1144,0.241997201492537,0.54333302238806,0.944185474469573,0.576533812670035,1627.13275,3,1,7,4,11,8,4,1,5
1150,0.275961030876494,0.508739915338645,0.721756285785412,0.50217063656735,1377.09133333333,4,0,7,4,17,9,-1,3,2
1152,0.2839375,0.46882464953271,0.568310441485634,0.4403674947434,1234.60041666667,2,1,9,4,12,6,2,1,3
1153,0.147669776119403,0.517700093283582,0.506525530426673,0.39064080839487,1122.20683333333,2,1,6,2,13,5,-1,1,4
1154,0.252622784514925,0.788882929104478,1.29581335975752,0.779146521570152,2193.6165,3,3,8,8,12,9,-1,1,3
1156,0.30811765391791,0.628492420708955,0.783707857309396,0.573455654877575,1599.32725,6,2,6,6,10,9,4,2,4
1157,0.489239855410448,0.715195895522388,0.836082186989974,0.680184764865915,1900.06383333333,5,0,2,4,4,7,7,5,2
